"experiment_id","task_type","categorical_scheme","feature_method","n_components","model_name","backend","seed","experiment_dir","resume_match_type","loaded_summary"
"EXP037_categorical_three_stage_PCAk10_glmnet_ridge_seed2026","categorical","three_stage","PCA",10,"glmnet_ridge","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP025_categorical_three_stage_PCAk10_glmnet_ridge_seed2026","suffix",TRUE
"EXP038_categorical_three_stage_PCAk10_glmnet_elasticnet_seed2026","categorical","three_stage","PCA",10,"glmnet_elasticnet","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP026_categorical_three_stage_PCAk10_glmnet_elasticnet_seed2026","suffix",TRUE
"EXP039_categorical_three_stage_PCAk10_glmnet_lasso_seed2026","categorical","three_stage","PCA",10,"glmnet_lasso","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP027_categorical_three_stage_PCAk10_glmnet_lasso_seed2026","suffix",TRUE
"EXP040_categorical_three_stage_PCAk10_xgboost_seed2026","categorical","three_stage","PCA",10,"xgboost","xgboost",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP028_categorical_three_stage_PCAk10_xgboost_seed2026","suffix",TRUE
"EXP041_categorical_three_stage_PCAk20_glmnet_ridge_seed2026","categorical","three_stage","PCA",20,"glmnet_ridge","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP029_categorical_three_stage_PCAk20_glmnet_ridge_seed2026","suffix",TRUE
"EXP042_categorical_three_stage_PCAk20_glmnet_elasticnet_seed2026","categorical","three_stage","PCA",20,"glmnet_elasticnet","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP030_categorical_three_stage_PCAk20_glmnet_elasticnet_seed2026","suffix",TRUE
"EXP043_categorical_three_stage_PCAk20_glmnet_lasso_seed2026","categorical","three_stage","PCA",20,"glmnet_lasso","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP031_categorical_three_stage_PCAk20_glmnet_lasso_seed2026","suffix",TRUE
"EXP044_categorical_three_stage_PCAk20_xgboost_seed2026","categorical","three_stage","PCA",20,"xgboost","xgboost",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP032_categorical_three_stage_PCAk20_xgboost_seed2026","suffix",TRUE
"EXP045_categorical_three_stage_PCAk50_glmnet_ridge_seed2026","categorical","three_stage","PCA",50,"glmnet_ridge","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP033_categorical_three_stage_PCAk50_glmnet_ridge_seed2026","suffix",TRUE
"EXP046_categorical_three_stage_PCAk50_glmnet_elasticnet_seed2026","categorical","three_stage","PCA",50,"glmnet_elasticnet","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP034_categorical_three_stage_PCAk50_glmnet_elasticnet_seed2026","suffix",TRUE
"EXP047_categorical_three_stage_PCAk50_glmnet_lasso_seed2026","categorical","three_stage","PCA",50,"glmnet_lasso","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP035_categorical_three_stage_PCAk50_glmnet_lasso_seed2026","suffix",TRUE
"EXP048_categorical_three_stage_PCAk50_xgboost_seed2026","categorical","three_stage","PCA",50,"xgboost","xgboost",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP036_categorical_three_stage_PCAk50_xgboost_seed2026","suffix",TRUE
"EXP049_categorical_three_stage_ICAk10_glmnet_ridge_seed2026","categorical","three_stage","ICA",10,"glmnet_ridge","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP037_categorical_three_stage_ICAk10_glmnet_ridge_seed2026","suffix",TRUE
"EXP050_categorical_three_stage_ICAk10_glmnet_elasticnet_seed2026","categorical","three_stage","ICA",10,"glmnet_elasticnet","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP038_categorical_three_stage_ICAk10_glmnet_elasticnet_seed2026","suffix",TRUE
"EXP051_categorical_three_stage_ICAk10_glmnet_lasso_seed2026","categorical","three_stage","ICA",10,"glmnet_lasso","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP039_categorical_three_stage_ICAk10_glmnet_lasso_seed2026","suffix",TRUE
"EXP052_categorical_three_stage_ICAk10_xgboost_seed2026","categorical","three_stage","ICA",10,"xgboost","xgboost",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP040_categorical_three_stage_ICAk10_xgboost_seed2026","suffix",TRUE
"EXP053_categorical_three_stage_ICAk20_glmnet_ridge_seed2026","categorical","three_stage","ICA",20,"glmnet_ridge","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP041_categorical_three_stage_ICAk20_glmnet_ridge_seed2026","suffix",TRUE
"EXP054_categorical_three_stage_ICAk20_glmnet_elasticnet_seed2026","categorical","three_stage","ICA",20,"glmnet_elasticnet","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP042_categorical_three_stage_ICAk20_glmnet_elasticnet_seed2026","suffix",TRUE
"EXP055_categorical_three_stage_ICAk20_glmnet_lasso_seed2026","categorical","three_stage","ICA",20,"glmnet_lasso","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP043_categorical_three_stage_ICAk20_glmnet_lasso_seed2026","suffix",TRUE
"EXP056_categorical_three_stage_ICAk20_xgboost_seed2026","categorical","three_stage","ICA",20,"xgboost","xgboost",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP044_categorical_three_stage_ICAk20_xgboost_seed2026","suffix",TRUE
"EXP057_categorical_three_stage_ICAk50_glmnet_ridge_seed2026","categorical","three_stage","ICA",50,"glmnet_ridge","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP045_categorical_three_stage_ICAk50_glmnet_ridge_seed2026","suffix",TRUE
"EXP058_categorical_three_stage_ICAk50_glmnet_elasticnet_seed2026","categorical","three_stage","ICA",50,"glmnet_elasticnet","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP046_categorical_three_stage_ICAk50_glmnet_elasticnet_seed2026","suffix",TRUE
"EXP059_categorical_three_stage_ICAk50_glmnet_lasso_seed2026","categorical","three_stage","ICA",50,"glmnet_lasso","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP047_categorical_three_stage_ICAk50_glmnet_lasso_seed2026","suffix",TRUE
"EXP060_categorical_three_stage_ICAk50_xgboost_seed2026","categorical","three_stage","ICA",50,"xgboost","xgboost",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/categorical/experiments/EXP048_categorical_three_stage_ICAk50_xgboost_seed2026","suffix",TRUE
